new entry "Soulcatcher_ZombieCrawler"
type "Character"
using "_Skeleton"
data "Act" "1"
data "Act part" "1"
data "Strength" "3"
data "Finesse" "2"
data "Intelligence" "0"
data "Constitution" "2"
data "Memory" "0"
data "Wits" "0"
data "Armor" "0"
data "ArmorBoost" "0"
data "MagicArmor" "0"
data "MagicArmorBoost" "0"
data "Vitality" "90"
data "MagicPoints" "0"
data "Gain" "None"
data "FireResistance" "-20"
data "WaterResistance" "20"
data "WarriorLore" "4"
data "EarthSpecialist" "3"
data "Talents" "Zombie;AttackOfOpportunity;"

