new entry "OdinSpectre_GHOSTWALK"
type "StatusData"
data "StatusType" "FLOATING"
data "ForGameMaster" "No"
data "InitiateCombat" "No"
data "DisplayName" "OdinSpectre_GHOSTWALK_DisplayName"
data "DisplayNameRef" "Ghostwalk"
data "Description" "OdinSpectre_GHOSTWALK_Description"
data "DescriptionRef" "Character ignores surfaces whilst moving."
data "Icon" "OBSPECTRE_Status_Ghostwalk"
data "FormatColor" "LightBlue"
data "StatusEffect" "OdinSpectre_Invisible_01"
data "MaterialType" "Overlay"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "Yes"
data "MaterialApplyNormalMap" "No"
data "StatsId" "Stats_OdinSpectre_Ghostwalk"
data "StackPriority" "0"
data "OnlyWhileMoving" "Yes"

