new entry "SHADE_INVISIBLE"
type "StatusData"
data "StatusType" "INVISIBLE"
data "ForGameMaster" "Yes"
data "InitiateCombat" "No"
data "DisplayName" "SHADE_INVISIBLE_DisplayName"
data "DisplayNameRef" "Invisible"
data "Description" "SHADE_INVISIBLE_Description"
data "DescriptionRef" "Character is invisible until the end of the turn."
data "Icon" "statIcons_WalkShadow"
data "FormatColor" "White"
data "StatusEffect" "RS3_FX_GP_Status_ChameleonSkin_01"
data "MaterialType" "Replacement"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "Yes"
data "MaterialApplyNormalMap" "No"
data "SoundStart" "Status_Tex_Invisible_Start"
data "SoundLoop" "Status_Tex_Invisible_Loop"
data "SoundStop" "Status_Tex_Invisible_Stop"
data "StatsId" "Stats_Invisible"
data "StackId" "Stack_Invisible"

